Aldoa
Mapk3
Wdr83os
Mxd3
Cd81
Mgrn1
Nme3
Lamtor1
Arnt2
Ndufs2
Gtf2f1
Cdc42se2
Timm13
Chmp4bl1
Nicn1
Ncoa4
Ndufa10l1
Lrrc45
Ubl4a
Slc35b2
Scamp4
Tars2
Arfgap1
Ngrn
Uqcr11
Rps17
Prelid1
Usp4
Fbxl19
Gpt
Cycs
Ing4
Samd4b
Ddah2
Gosr1
Mybbp1a
Tubb2b
Dedd
Gphn
Dpm2
Gng10
Cluap1
Crtc2
Phf10
Mfge8
Cers1
Esrra
Rpl21
Txndc9
Mcoln1
Tmem14a
Them6
Rps20
Ppp3r1
Uchl3
Zfp512b
Rnaseh2a
Syt5
Marcksl1
Tspyl1
Spef1
Naa80
Gabarapl2
Rtl8a
Samd8
Wdr74
Ccdc28b
Dexi
Fgfr3
Prdx6
Adgrl2
Scamp5
Rac1
Impa1
Cavin1
Ctsf
Cacfd1
Pbxip1
Dars2
Rnf26
U2af1l4
Zbtb22
Pfdn6
Lrrc75b
Pink1
Gpr27
Lrch4
Ppia
Rpp21
Scaf1
Cyb5a
Golga3
Ncdn
Eef1a1
Tppp3
Mycl
Idh3g
Paqr7
Fam131b
Enpp5
Kyat1
Tmem151a
Leprotl1
Rce1
Necab1
Gatd3a
Metrn
Casp2
Nudt18
Gpr17
Gnaz
Sema3b
Rnd2
Cpne6
Fam217b
Rps10
Nqo1
Mpst
Tufm
Tmem229a
Manf
Paqr4
Uqcrc1
Fkbp8
Arpc4
Scrt1
Aldh1b1
Rhoa
Babam1
Hsbp1
Hmgb2
Pkm
Eno1
Rcn3
Kctd10
Eif6
Fam107a
Pdrg1
Elmod2
Prps1
Gpi
Mgat2
Irf9
Insyn1
Ap2m1
Nop16
Tapbp
Nrgn
Akr1a1
Grhpr
Cdipt
Slc66a1
Rpl31
Ykt6
Prelp
Psat1
Fgf11
Zic1
Retreg2
Stoml1
Tmem158
Ube2i
Rpl4
Tomm34
Ddx49
Gstk1
Ctdsp1
Nubp2
Tbpl1
Eif4a2
Atp6v1g2
Uchl1
Zbtb7b
Brsk1
Mpdu1
Snapc5
Pfkl
Anp32e
Gpr37l1
Rxra
Thtpa
Rraga
Cabp7
Rnase4
Carmil1
Zhx3
Habp4
Laptm4b
Tcta
Epn1
Acy3
Pea15
Anxa5
Pgk1
Ncs1
Odc1
Itga7
Atp1b2
Syt11
Dus3l
Tmem127
Eef2
Axl
Sod1
Amigo1
Ap3b1
Cntfr
Tab1
Impdh2
Dph3
Chi3l1
Fkbp1b
Sema6b
Spryd3
Grina
Epop
Phgdh
Cope
Slc25a10
Stk16
Arl2bp
Ppp2r1a
Aif1
Fadd
Cotl1
Dohh
Gpd1l
Pgam1
Skp1
Oat
Trim28
Npepl1
Kat6a
Dpy30
Itih3
Adam11
Polr2e
B4gat1
Naprt
Dnase2
Foxo4
Lgi4
Gstm1
Gnai2
Fam219b
Crabp1
Ak6
Stxbp6
Pdzd11
Zfp397
Gucd1
Slc25a15
Cebpa
Mrpl49
Gsk3a
Hspd1
Nars1
Creb3
Mapk8ip1
Abhd11
Hapln1
Slc25a5
Syn2
Hebp1
Kif1c
Nop53
Clu
Pmvk
Mlf2
Lgals3bp
Ldhb
Smpd1
Ndrg2
Acsbg1
Pak6
Rnf126
St6galnac6
Eif4h
Psmd8
Akt1
Snx8
Lynx1
C1ql2
Pdcl
Plekhb1
Klhl17
Ndufs5
Mea1
Map2k5
Laptm5
Mcu
Src
Psmd2
Pnma8a
Rab1b
Gpr137
Gm2a
Fkbp11
Gaa
Slc35e2b
Mtss2
Spag7
Pspc1
Tmem109
Fbxl16
Septin5
Yipf6
Phyh
Polr2m
Pcsk7
Taf13
Egr3
Atp6v1e1
Pld4
Ewsr1
Hax1
Midn
Fads1
Aldoc
Itm2c
Rnf187
Sema3g
Abca5
Flot1
Arhgdia
Hyal1
Lrrc47
Wdr6
Adam15
Xab2
Gbf1
Lingo3
Gstm7
Nkiras2
Csrp1
Pdlim4
Lhx2
Arl1
Exosc2
Tspan3
Dusp26
Ndp
Hes6
Mturn
Sqstm1
Gpn3
Aak1
Parva
Ppp2cb
Abhd4
Pes1
Med16
Surf4
Cyp46a1
Hspb6
Kctd9
Alg2
Psmc3
Dctn6
Gdi1
Dynlt3
Dym
Cdk16
Fkbp10
Plbd2
Ess2
Tmem250
Garem2
Mib1
Ddost
Tceal8
Magi3
Abhd8
Nat9
Spg11
Nrf1
Yipf3
Atp5f1b
Slc39a7
Sparcl1
Marchf8
Cyc1
Fxyd6
Olfml3
Nacc1
Slc25a51
Mrps7
Ppp1r9a
Stk11ip
Ap2s1
Ntrk1
Pcyt2
Rapgef5
Sgta
Limch1
Ech1
Mdh1
Pum1
Mbd1
Zfp358
Fzd1
Sigmar1
Abhd14b
Grin3a
Coro1a
Cd2bp2
Zfp609
Mrpl2
Gon7
Stub1
B9d2
Ophn1
Panx2
Nrbp2
Ric8b
Sdr39u1
Aup1
Psmc5
Tm7sf2
Rnasel
Cstf2t
Golga7
Nat14
Wdr1
Sart1
Xrcc4
Ppp5c
Gabarapl1
Mrps18a
Snn
Pik3r2
Pnp
Tomm40l
Mrpl41
Tceal9
Dda1
Chmp2a
Cmtm6
Adhfe1
Tbc1d17
Nrsn1
Rhbdf1
Aip
Slc39a1
Itpr1
Chchd3
Itpka
Bcl2l2
Chchd6
Trappc1
Ptpa
Cdk17
Tbc1d8
Pdpn
Irf2bpl
Tuba1c
Neurl1
Txn2
Zbtb38
Atp1a2
Tcn2
Psma6
Eci3
Mrps25
Ucp2
Slc39a3
Commd8
